assertions	Climate Change	 Vegetarian & Vegan Lifestyle	Black Lives Matter	Creationism in school curricula	Foreign Aid	Gender Equality	Gun Rights	Legalization of Marijuana	Legalization of Same-sex Marriage	Mandatory Vaccination	Media Bias	Obama Care -- Affordable Health Care Act	US Engagement in the Middle East	US Electoral System	US Immigration	War on Terrorism
1	0.45147852564157037	0.6163099483550273	0.45043945811973163	0.449043750589551	0.010662142798870485		0.7482210339837009	0.08935217694073576	0.5661572884196647	0.28308725740746277	0.4875159200278623	0.4854318529536172	0.13334995554409587	0.14696160943825887	0.10839120101778627	0.37137685686445565
2	0.48188658276691076	0.6733533132697922	0.6700122303230925	0.5197462141822363	0.035084164147366606		0.7710314631267267	0.13258750431303742	0.632994381585423	0.4377988005089935	0.594764931755856	0.5348528414794596	0.15126742324867784	0.12829538203874602	0.1253253087022392	0.43343480696257713
3	0.5069928071964542	0.7166175174067699	0.6901987649937998	0.555649840066698	-0.04778553058251038		0.8185940423442419	0.05342404029517687	0.6522713549601713	0.5940229243417254	0.6284597091939426	0.5612091699243313	0.17792360873286375	0.2176990635446587	0.16188126153403823	0.5288280423419109
4	0.5451858166818963	0.7323253313764049	0.7099460562680754	0.5778478189289057	-0.08484073211548974		0.8166650472323439	0.08726884500485754	0.6611010039823221	0.6396114433794239	0.6712982773485716	0.5866330248715812	0.1882459074864372	0.22819715826616976	0.2958320466183172	0.5958794578079689
5	0.5734954666220627	0.7032243358246884	0.7438764380959326	0.6119033411313612	-0.090009235300848		0.8225038947620029	0.05951862446240782	0.6879131475856884	0.6641958110904158	0.7008932495234238	0.5939657732345976	0.1522191970617312	0.2781178619980212	0.4303983152530363	0.600671118756149
6	0.6996062799008982	0.702211590493891	0.77704665129474	0.6084744563174325	-0.08137126468580563		0.8308853044805354	0.08945379149404543	0.6723683908895747	0.6586465376670136	0.7377020658886784	0.6065362093462189	0.2296767733752127	0.34573903164752195	0.48472540734930125	0.614309382921292
7	0.7256400253922518	0.7229005965672671	0.7774560105313096	0.6321671969805925	-0.06448127258599617		0.8336044164508385	0.10613925924125209	0.6868928742901483	0.6781763139106859	0.7441423830743121	0.6385776213448753	0.2971759646858222	0.3902190621702754	0.5459348613342356	0.6292623072298863
8	0.7269728945533497	0.7180728208684243	0.7939402176136595	0.6451748099653036	-0.10812028953734425		0.8395399565879974	0.08446975689049771	0.6941086654725285	0.7036916797417352	0.7448205121374314	0.6614224918258872	0.3101774595283386	0.42000211810020593	0.5287028860263214	0.6442111066982451
9	0.7439613782356305	0.7219872014074306	0.7978582829935892	0.6417109673466885	-0.015616743853121284		0.8384667511866337	0.10088627800195486	0.7030307782369931	0.7226983719433377	0.7407721615875562	0.6688641948088727	0.3309958591243925	0.44345878276789047	0.5983879335075581	0.6444785592454286
10	0.7432122763104531	0.7268797786579049	0.7982962571810196	0.6331431384428883	0.003387787252422521		0.8429474035668831	0.09243948412965047	0.7044105277537017	0.746595482575161	0.7515312736896856	0.6744601679063352	0.34440551762186244	0.4565194191990977	0.6353071418172817	0.6673857951886527
11	0.75285263592123	0.7237146367908477	0.8069988064010004	0.6499247366445088	0.05977786726838783		0.8436311042603808	0.08053299911677905	0.7026947340738646	0.7744603044904631	0.7619875183566114	0.6938367439371255	0.34898149647016813	0.4868152594659251	0.6564438829625475	0.678265459682934
12	0.753940056839625	0.7153784237650146	0.8171133260769423	0.6573932147272955	0.0883593102970692		0.8481752676593189	0.08611207643336571	0.703982143004916	0.7907026871306778	0.7639451300056933	0.6998241443393057	0.3902270005152232	0.5144814912441678	0.6795784924402691	0.6750728658678156
